"sheet"	"distribution_type"	"var_ratio"	"n1"	"n2"	"pre_t"	"pre_w"	"pre_w_freq"	"pre_u"	"pre_u_freq"	"t"	"w"	"u"	"delta"	"sigma2"	"pre_t_freq"
"113"	4	"1_5"	1	10	30	87.57	29.37	6.34	70.77	64.21	80	73.37	72.93	1	1	29.45
"114"	4	"1_5"	1	30	10	84.92	82.22	14.48	66.62	7.19	80.33	86.91	79.87	1	1	78.33
"115"	4	"1_5"	1	30	100	0	0	0	99.18	100	99.89	99.79	99.18	1	1	0
"116"	4	"1_5"	2	10	10	19.66	43.05	10.07	9.27	7.44	21.22	19.18	20.3	1	1	82.49
"117"	4	"1_5"	2	30	30	80.06	37.42	8.47	43.12	64.2	75.61	75.05	51.05	1	1	27.33
"118"	4	"1_5"	2	10	30	36.39	43.75	0.66	24.41	64.03	23.8	52.6	28.76	1	1	35.31
"119"	4	"1_5"	2	30	10	34.61	29.43	33.99	8.941	7.27	52.02	20.68	27.2	1	1	58.74
"120"	4	"1_5"	2	30	100	0	0	0	68.92	100	87.92	97.32	68.92	1	1	0
"121"	4	"1"	1	10	10	100	100	4.76	100	0.03	100	100	100	5	5	95.21
"122"	4	"1"	1	30	30	100	100	4.99	100	0.1	100	100	100	5	5	94.91
"123"	4	"1"	1	10	30	100	100	4.29	100	0.06	100	100	100	5	5	95.65
"124"	4	"1"	1	30	10	100	100	4.33	100	0.05	100	100	100	5	5	95.62
"125"	4	"1"	1	30	100	99.99	99.79	4.69	100	0.13	100	100	100	5	5	95.18
"126"	4	"1"	2	10	10	99.99	99.97	33.21	100	0.03	100	100	100	5	5	66.76
"127"	4	"1"	2	30	30	100	99.91	91.94	100	0.09	100	100	100	5	5	7.97
"128"	4	"1"	2	10	30	100	99.97	29.91	100	0.06	100	100	100	5	5	70.03
"129"	4	"1"	2	30	10	100	99.95	73.42	100	0.06	100	100	100	5	5	26.52
"130"	4	"1"	2	30	100	100	99.89	98.41	100	0.11	100	100	100	5	5	1.48
"131"	4	"2"	1	10	10	98.89	99.73	3.69	100	3.24	98.06	97.85	99.98	5	5	93.07
"132"	4	"2"	1	30	30	100	93.18	1.64	100	27.84	99.93	99.93	100	5	5	70.52
"133"	4	"2"	1	10	30	99.99	93.57	5.51	100	16.5	99.35	98.81	100	5	5	77.99
"134"	4	"2"	1	30	10	99.81	92.12	5.45	100	16.56	99.39	98.93	99.99	5	5	77.99
"135"	4	"2"	1	30	100	100	34.55	1.72	100	70.74	100	99.98	100	5	5	27.54
"136"	4	"2"	2	10	10	91.04	99.61	43.72	99.69	3.24	93.72	93.13	99.87	5	5	53.04
"137"	4	"2"	2	30	30	100	97.31	48.78	100	27.82	99.09	99.06	100	5	5	23.4
"138"	4	"2"	2	10	30	99.73	98.43	39	100	16.6	95.59	97.74	100	5	5	44.4
"139"	4	"2"	2	30	10	99.09	91.08	59.4	99.94	16.52	97.38	94.58	99.98	5	5	24.08
"140"	4	"2"	2	30	100	100	70.65	18.33	100	70.54	99.9	99.96	100	5	5	11.13
"141"	4	"3"	1	10	10	100	100	3.25	100	4.15	99.98	99.98	100	5	5	92.6
"142"	4	"3"	1	30	30	100	86.38	2.6	100	36.11	100	100	100	5	5	61.29
"143"	4	"3"	1	10	30	100	93.84	5.04	100	21.92	100	99.99	100	5	5	73.04
"144"	5	"3"	1	30	10	100	93.38	4.95	100	21.73	100	99.99	100	5	5	73.32
"145"	5	"3"	1	30	100	99.92	26.04	1.25	100	86.51	100	100	100	5	5	12.24
"146"	5	"3"	2	10	10	99.56	99.49	9.73	99.75	4.06	99.56	99.47	99.95	5	5	86.21
"147"	5	"3"	2	30	30	99.98	84.04	22.33	100	36.01	100	100	100	5	5	41.66
"148"	5	"3"	2	10	30	99.99	97.69	1.27	100	21.59	99.98	99.98	100	5	5	77.14
"149"	5	"3"	2	30	10	99.96	89.07	33.67	100	21.56	99.94	99.57	99.99	5	5	44.77
"150"	5	"3"	2	30	100	100	37.13	3.94	100	86.33	100	100	100	5	5	9.73
"151"	5	"4"	1	10	10	99.99	99.82	5.52	100	0.82	99.96	99.95	100	5	5	93.66
"152"	5	"4"	1	30	30	100	92.95	3.56	100	7.47	100	100	100	5	5	88.97
"153"	5	"4"	1	10	30	100	97.02	5.87	100	4.25	100	99.96	100	5	5	89.88
"154"	5	"4"	1	30	10	100	97.06	5.94	100	4.2	100	99.99	100	5	5	89.86
"155"	5	"4"	1	30	100	100	53.35	2.71	100	44.46	100	100	100	5	5	52.83
"156"	5	"4"	2	10	10	99.71	99.83	57.81	100	0.82	99.81	99.77	100	5	5	41.37
"157"	5	"4"	2	30	30	100	95.78	83.85	100	7.4	100	100	100	5	5	8.75
"158"	5	"4"	2	10	30	100	97.67	70.91	100	4.19	99.96	99.96	100	5	5	24.9
"159"	5	"4"	2	30	10	99.93	97.35	80.92	100	4.15	99.97	99.83	100	5	5	14.93
